trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
平日_06時08分_系統1332,06:26:00,06:26:00,342_05,26,表町BC,0,0
平日_06時08分_系統1332,06:27:00,06:27:00,340_05,27,表町BC,0,0
平日_06時08分_系統1332,06:28:00,06:28:00,338_05,28,表町BC,0,0
平日_06時08分_系統1332,06:30:00,06:30:00,336_05,29,表町BC,0,0
平日_06時08分_系統1332,06:31:00,06:31:00,334_05,30,表町BC,0,0
平日_06時08分_系統1332,06:33:00,06:33:00,332_05,31,表町BC,0,0
平日_06時08分_系統1332,06:35:00,06:35:00,330_05,32,表町BC,0,0
平日_06時08分_系統1332,06:36:00,06:36:00,328_05,33,表町BC,0,0
平日_06時08分_系統1332,06:38:00,06:38:00,326_05,34,表町BC,0,0
平日_06時08分_系統1332,06:38:00,06:38:00,324_05,35,表町BC,0,0
平日_06時08分_系統1332,06:40:00,06:40:00,322_05,36,表町BC,0,0
平日_06時08分_系統1332,06:41:00,06:41:00,320_05,37,表町BC,0,0
平日_06時08分_系統1332,06:42:00,06:42:00,319_05,38,表町BC,0,0
平日_06時08分_系統1332,06:43:00,06:43:00,318_05,39,表町BC,0,0
平日_06時08分_系統1332,06:43:00,06:43:00,316_05,40,表町BC,0,0
平日_06時08分_系統1332,06:45:00,06:45:00,314_05,41,表町BC,0,0
平日_06時08分_系統1332,06:46:00,06:46:00,312_05,42,表町BC,0,0
平日_06時08分_系統1332,06:48:00,06:48:00,516_05,43,表町BC,0,0
平日_06時08分_系統1332,06:50:00,06:50:00,514_05,44,表町BC,0,0
平日_06時08分_系統1332,06:52:00,06:52:00,4_01,45,表町BC,0,0
平日_06時08分_系統1332,06:53:00,06:53:00,5_01,46,表町BC,0,0
平日_06時08分_系統1332,06:54:00,06:54:00,6_06,47,表町BC,0,0
平日_06時08分_系統1332,06:55:00,06:55:00,8_06,48,表町BC,0,0
平日_06時08分_系統1332,06:56:00,06:56:00,10_01,49,表町BC,0,0
平日_06時08分_系統1332,06:57:00,06:57:00,12_01,50,表町BC,1,0
平日_06時09分_系統1282,06:09:00,06:09:00,778_05,1,岡山駅前経由表町BC（下市・中 経由）,0,1
平日_06時09分_系統1282,06:09:00,06:09:00,776_05,2,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:09:00,06:09:00,774_05,3,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:10:00,06:10:00,772_05,4,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:10:00,06:10:00,770_05,5,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:11:00,06:11:00,768_05,6,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:12:00,06:12:00,766_05,7,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:12:00,06:12:00,764_05,8,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:13:00,06:13:00,762_05,9,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:13:00,06:13:00,760_05,10,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:14:00,06:14:00,758_05,11,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:14:00,06:14:00,756_05,12,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:14:00,06:14:00,754_05,13,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:15:00,06:15:00,752_05,14,岡山駅前経由表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:16:00,06:16:00,962_05,15,表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:16:00,06:16:00,960_05,16,表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:17:00,06:17:00,958_05,17,表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:17:00,06:17:00,956_05,18,表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:19:00,06:19:00,954_05,19,表町BC（下市・中 経由）,0,0
平日_06時09分_系統1282,06:21:00,06:21:00,2086_02,20,表町BC（山団・中 経由）,0,0
平日_06時09分_系統1282,06:23:00,06:23:00,590_05,21,表町BC（山団・中 経由）,0,0
平日_06時09分_系統1282,06:23:00,06:23:00,588_05,22,表町BC（山団・中 経由）,0,0
平日_06時09分_系統1282,06:24:00,06:24:00,586_05,23,表町BC（山団・中 経由）,0,0
平日_06時09分_系統1282,06:25:00,06:25:00,1584_05,24,表町BC（山団・中 経由）,0,0
平日_06時09分_系統1282,06:25:00,06:25:00,1582_05,25,表町BC（山団・中 経由）,0,0
平日_06時09分_系統1282,06:26:00,06:26:00,1580_05,26,表町BC（山団・中 経由）,0,0
平日_06時09分_系統1282,06:26:00,06:26:00,1578_05,27,表町BC（山団・中 経由）,0,0
平日_06時09分_系統1282,06:27:00,06:27:00,1576_05,28,表町BC（山団・中 経由）,0,0
平日_06時09分_系統1282,06:28:00,06:28:00,352_05,29,表町BC,0,0
平日_06時09分_系統1282,06:30:00,06:30:00,353_05,30,表町BC,0,0
平日_06時09分_系統1282,06:31:00,06:31:00,351_05,31,表町BC,0,0
平日_06時09分_系統1282,06:32:00,06:32:00,350_05,32,表町BC,0,0
平日_06時09分_系統1282,06:33:00,06:33:00,348_05,33,表町BC,0,0
平日_06時09分_系統1282,06:33:00,06:33:00,552_05,34,表町BC,0,0
平日_06時09分_系統1282,06:34:00,06:34:00,344_05,35,表町BC,0,0
平日_06時09分_系統1282,06:34:00,06:34:00,343_05,36,表町BC,0,0
平日_06時09分_系統1282,06:35:00,06:35:00,342_05,37,表町BC,0,0
平日_06時09分_系統1282,06:37:00,06:37:00,340_05,38,表町BC,0,0
平日_06時09分_系統1282,06:38:00,06:38:00,338_05,39,表町BC,0,0
平日_06時09分_系統1282,06:40:00,06:40:00,336_05,40,表町BC,0,0
平日_06時09分_系統1282,06:41:00,06:41:00,334_05,41,表町BC,0,0
平日_06時09分_系統1282,06:43:00,06:43:00,332_05,42,表町BC,0,0
平日_06時09分_系統1282,06:45:00,06:45:00,330_05,43,表町BC,0,0
平日_06時09分_系統1282,06:46:00,06:46:00,328_05,44,表町BC,0,0
平日_06時09分_系統1282,06:48:00,06:48:00,326_05,45,表町BC,0,0
平日_06時09分_系統1282,06:49:00,06:49:00,324_05,46,表町BC,0,0
平日_06時09分_系統1282,06:50:00,06:50:00,322_05,47,表町BC,0,0
平日_06時09分_系統1282,06:51:00,06:51:00,320_05,48,表町BC,0,0
平日_06時09分_系統1282,06:51:00,06:51:00,319_05,49,表町BC,0,0
平日_06時09分_系統1282,06:53:00,06:53:00,318_05,50,表町BC,0,0
平日_06時09分_系統1282,06:54:00,06:54:00,316_05,51,表町BC,0,0
平日_06時09分_系統1282,06:55:00,06:55:00,314_05,52,表町BC,0,0
