route_id,service_id,trip_id,trip_headsign
3108,平日,平日_20時49分_系統3108,表町ＢＣ経由岡山駅
3107,平日,平日_20時50分_系統3107,長岡・駅前
5141,平日,平日_20時50分_系統5141,東岡山（岡山駅 経由）
1112,平日,平日_20時53分_系統1112,表町BC経由岡山駅（清水 経由）
1621,平日,平日_20時55分_系統1621,ネオ西９（中 ・下市 経由）
5132,平日,平日_21時05分_系統5132,表町BC（高島団地・弓之町 経由）
1042,平日,平日_21時10分_系統1042,表町ＢＣ経由岡山駅
1631,平日,平日_21時20分_系統1631,ネオ西９（西 ・下市 経由）
3110,平日,平日_21時25分_系統3110,表町BC
1111,平日,平日_21時25分_系統1111,四御神（県庁前 経由）
1112,平日,平日_21時26分_系統1112,表町BC経由岡山駅（清水 経由）
1641,平日,平日_21時30分_系統1641,瀬戸駅（ネオ西９ 経由）
5132,平日,平日_21時35分_系統5132,表町BC（高島団地・弓之町 経由）
2021,平日,平日_21時40分_系統2021,ネオ東６（中 ・下市 経由）
5141,平日,平日_21時50分_系統5141,東岡山（岡山駅 経由）
1111,平日,平日_22時00分_系統1111,四御神（県庁前 経由）
1081,平日,平日_22時05分_系統1081,長岡団地
1621,平日,平日_22時05分_系統1621,ネオ西９（中 ・下市 経由）
2081,平日,平日_23時30分_系統2081,深夜　西９（中 ・下市 経由）
1342,土日祝,土日祝_06時09分_系統1342,表町BC（正崎・中 経由）
1042,土日祝,土日祝_06時30分_系統1042,表町ＢＣ経由岡山駅
1182,土日祝,土日祝_06時31分_系統1182,表町BC（新道河本 経由）
1612,土日祝,土日祝_06時34分_系統1612,岡山駅前経由表町BC（新道河本 経由）
1112,土日祝,土日祝_06時35分_系統1112,表町BC経由岡山駅（清水 経由）
5142,土日祝,土日祝_06時37分_系統5142,表町BC（高島団地・岡山駅前 経由）
1282,土日祝,土日祝_06時52分_系統1282,岡山駅前経由表町BC（下市・中 経由）
1042,土日祝,土日祝_06時57分_系統1042,表町ＢＣ経由岡山駅
1072,土日祝,土日祝_06時58分_系統1072,瀬戸駅（岡山駅 経由）
3101,土日祝,土日祝_07時00分_系統3101,片上
1112,土日祝,土日祝_07時05分_系統1112,表町BC経由岡山駅（清水 経由）
1632,土日祝,土日祝_07時07分_系統1632,岡山駅前経由表町BC（下市・西 経由）
5522,土日祝,土日祝_07時12分_系統5522,表町BC（高島団地・岡山駅前 経由）
3107,土日祝,土日祝_07時15分_系統3107,長岡・駅前
2011,土日祝,土日祝_07時15分_系統2011,ネオ東６（新道河本 経由）
5131,土日祝,土日祝_07時15分_系統5131,東岡山（弓之町 経由）
1642,土日祝,土日祝_07時18分_系統1642,瀬戸駅（岡山駅 経由）
1381,土日祝,土日祝_07時19分_系統1381,林野駅（湯郷温泉 経由）
1111,土日祝,土日祝_07時22分_系統1111,四御神（県庁前 経由）
1282,土日祝,土日祝_07時33分_系統1282,岡山駅前経由表町BC（下市・中 経由）
1112,土日祝,土日祝_07時35分_系統1112,表町BC経由岡山駅（清水 経由）
1401,土日祝,土日祝_07時44分_系統1401,瀬戸駅
1632,土日祝,土日祝_07時44分_系統1632,岡山駅前経由表町BC（下市・西 経由）
5142,土日祝,土日祝_07時45分_系統5142,表町BC（高島団地・岡山駅前 経由）
5141,土日祝,土日祝_07時50分_系統5141,東岡山（岡山駅 経由）
1061,土日祝,土日祝_07時55分_系統1061,瀬戸駅
1371,土日祝,土日祝_07時58分_系統1371,山陽団地（西→中 経由）
3108,土日祝,土日祝_08時00分_系統3108,表町ＢＣ経由岡山駅
1072,土日祝,土日祝_08時00分_系統1072,瀬戸駅（岡山駅 経由）
1282,土日祝,土日祝_08時00分_系統1282,岡山駅前経由表町BC（下市・中 経由）
1112,土日祝,土日祝_08時05分_系統1112,表町BC経由岡山駅（清水 経由）
5142,土日祝,土日祝_08時09分_系統5142,表町BC（高島団地・岡山駅前 経由）
1111,土日祝,土日祝_08時10分_系統1111,四御神（県庁前 経由）
5141,土日祝,土日祝_08時18分_系統5141,東岡山（岡山駅 経由）
2032,土日祝,土日祝_08時18分_系統2032,ネオ東６
1622,土日祝,土日祝_08時21分_系統1622,岡山駅前経由表町BC（下市・中 経由）
3101,土日祝,土日祝_08時25分_系統3101,片上
1621,土日祝,土日祝_08時25分_系統1621,ネオ西９（中 ・下市 経由）
3102,土日祝,土日祝_08時25分_系統3102,表町ＢＣ経由岡山駅
5142,土日祝,土日祝_08時34分_系統5142,表町BC（高島団地・岡山駅前 経由）
1182,土日祝,土日祝_08時34分_系統1182,表町BC（新道河本 経由）
5141,土日祝,土日祝_08時35分_系統5141,東岡山（岡山駅 経由）
1112,土日祝,土日祝_08時35分_系統1112,表町BC経由岡山駅（清水 経由）
1272,土日祝,土日祝_08時39分_系統1272,岡山駅前経由表町BC（新道河本 経由）
1111,土日祝,土日祝_08時40分_系統1111,四御神（県庁前 経由）
1632,土日祝,土日祝_08時47分_系統1632,岡山駅前経由表町BC（下市・西 経由）
1061,土日祝,土日祝_08時55分_系統1061,瀬戸駅
1112,土日祝,土日祝_09時00分_系統1112,表町BC経由岡山駅（清水 経由）
1282,土日祝,土日祝_09時02分_系統1282,岡山駅前経由表町BC（下市・中 経由）
5141,土日祝,土日祝_09時03分_系統5141,東岡山（岡山駅 経由）
5142,土日祝,土日祝_09時04分_系統5142,表町BC（高島団地・岡山駅前 経由）
1062,土日祝,土日祝_09時05分_系統1062,表町ＢＣ経由岡山駅
1611,土日祝,土日祝_09時05分_系統1611,ネオ西９（新道河本 経由）
1111,土日祝,土日祝_09時10分_系統1111,四御神（県庁前 経由）
8001,土日祝,土日祝_09時15分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
2021,土日祝,土日祝_09時15分_系統2021,ネオ東６（中 ・下市 経由）
1632,土日祝,土日祝_09時18分_系統1632,岡山駅前経由表町BC（下市・西 経由）
5142,土日祝,土日祝_09時24分_系統5142,表町BC（高島団地・岡山駅前 経由）
1112,土日祝,土日祝_09時25分_系統1112,表町BC経由岡山駅（清水 経由）
3107,土日祝,土日祝_09時28分_系統3107,長岡・駅前
1111,土日祝,土日祝_09時30分_系統1111,四御神（県庁前 経由）
1282,土日祝,土日祝_09時38分_系統1282,岡山駅前経由表町BC（下市・中 経由）
8001,土日祝,土日祝_09時45分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
1061,土日祝,土日祝_09時50分_系統1061,瀬戸駅
1371,土日祝,土日祝_09時50分_系統1371,山陽団地（西→中 経由）
5141,土日祝,土日祝_09時50分_系統5141,東岡山（岡山駅 経由）
1632,土日祝,土日祝_09時52分_系統1632,岡山駅前経由表町BC（下市・西 経由）
1112,土日祝,土日祝_09時55分_系統1112,表町BC経由岡山駅（清水 経由）
1062,土日祝,土日祝_09時55分_系統1062,表町ＢＣ経由岡山駅
1111,土日祝,土日祝_10時00分_系統1111,四御神（県庁前 経由）
5142,土日祝,土日祝_10時00分_系統5142,表町BC（高島団地・岡山駅前 経由）
3102,土日祝,土日祝_10時05分_系統3102,表町ＢＣ経由岡山駅
3108,土日祝,土日祝_10時05分_系統3108,表町ＢＣ経由岡山駅
1621,土日祝,土日祝_10時05分_系統1621,ネオ西９（中 ・下市 経由）
1061,土日祝,土日祝_10時10分_系統1061,瀬戸駅
8001,土日祝,土日祝_10時15分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
1112,土日祝,土日祝_10時20分_系統1112,表町BC経由岡山駅（清水 経由）
1111,土日祝,土日祝_10時25分_系統1111,四御神（県庁前 経由）
5141,土日祝,土日祝_10時25分_系統5141,東岡山（岡山駅 経由）
3101,土日祝,土日祝_10時30分_系統3101,片上
1282,土日祝,土日祝_10時32分_系統1282,岡山駅前経由表町BC（下市・中 経由）
1611,土日祝,土日祝_10時35分_系統1611,ネオ西９（新道河本 経由）
5142,土日祝,土日祝_10時39分_系統5142,表町BC（高島団地・岡山駅前 経由）
8001,土日祝,土日祝_10時45分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
1112,土日祝,土日祝_10時50分_系統1112,表町BC経由岡山駅（清水 経由）
2001,土日祝,土日祝_10時50分_系統2001,瀬戸駅（ネオ東６ 経由）
1111,土日祝,土日祝_10時53分_系統1111,四御神（県庁前 経由）
2021,土日祝,土日祝_10時55分_系統2021,ネオ東６（中 ・下市 経由）
1612,土日祝,土日祝_10時55分_系統1612,岡山駅前経由表町BC（新道河本 経由）
1062,土日祝,土日祝_10時55分_系統1062,表町ＢＣ経由岡山駅
5141,土日祝,土日祝_11時00分_系統5141,東岡山（岡山駅 経由）
8001,土日祝,土日祝_11時15分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
5142,土日祝,土日祝_11時15分_系統5142,表町BC（高島団地・岡山駅前 経由）
1111,土日祝,土日祝_11時15分_系統1111,四御神（県庁前 経由）
1112,土日祝,土日祝_11時15分_系統1112,表町BC経由岡山駅（清水 経由）
1061,土日祝,土日祝_11時20分_系統1061,瀬戸駅
1611,土日祝,土日祝_11時20分_系統1611,ネオ西９（新道河本 経由）
1622,土日祝,土日祝_11時20分_系統1622,岡山駅前経由表町BC（下市・中 経由）
1062,土日祝,土日祝_11時25分_系統1062,表町ＢＣ経由岡山駅
5141,土日祝,土日祝_11時33分_系統5141,東岡山（岡山駅 経由）
