stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
886_05,886,周匝上,,34.920624,134.095661,886_05,,0
888_04,888,落合,,34.923703,134.102554,888_04,,0
888_05,888,落合,,34.923734,134.102803,888_05,,0
890_04,890,高下,,34.926482,134.107607,890_04,,0
892_04,892,奥,,34.927264,134.111536,892_04,,0
892_05,892,奥,,34.927207,134.111395,892_05,,0
894_04,894,奥上,,34.928151,134.112948,894_04,,0
894_05,894,奥上,,34.928167,134.113127,894_05,,0
896_04,896,天神,,34.930804,134.118709,896_04,,0
896_05,896,天神,,34.930516,134.118350,896_05,,0
898_04,898,王子橋,,34.932862,134.122113,898_04,,0
898_05,898,王子橋,,34.933088,134.122299,898_05,,0
900_04,900,福本下,,34.935433,134.122284,900_04,,0
900_05,900,福本下,,34.935996,134.122480,900_05,,0
902_04,902,福本,,34.938060,134.123116,902_04,,0
902_05,902,福本,,34.937721,134.123079,902_05,,0
904_04,904,小原,,34.941120,134.125268,904_04,,0
904_05,904,小原,,34.941144,134.125573,904_05,,0
906_04,906,椿谷,,34.943889,134.135396,906_04,,0
906_05,906,椿谷,,34.944122,134.135803,906_05,,0
908_04,908,尾谷,,34.948404,134.135843,908_04,,0
908_05,908,尾谷,,34.948224,134.135937,908_05,,0
910_04,910,尾原,,34.955148,134.132863,910_04,,0
910_05,910,尾原,,34.955130,134.133091,910_05,,0
912_04,912,尾原上,,34.957957,134.129384,912_04,,0
912_05,912,尾原上,,34.957788,134.129526,912_05,,0
914_04,914,樫村,,34.965569,134.133996,914_04,,0
914_05,914,樫村,,34.965578,134.134148,914_05,,0
916_04,916,下倉敷,,34.975361,134.126338,916_04,,0
916_05,916,下倉敷,,34.975581,134.125903,916_05,,0
918_04,918,畑沖下,,34.982932,134.127287,918_04,,0
918_05,918,畑沖下,,34.983565,134.127663,918_05,,0
920_04,920,畑沖,,34.985940,134.128566,920_04,,0
920_05,920,畑沖,,34.985991,134.128684,920_05,,0
922_04,922,鷺湯橋,,34.991199,134.133826,922_04,,0
922_05,922,鷺湯橋,,34.991144,134.133472,922_05,,0
924_04,924,湯郷温泉下,,34.991405,134.134926,924_04,,0
924_05,924,湯郷温泉下,,34.991244,134.134862,924_05,,0
926_04,926,湯郷温泉上,,34.993651,134.139602,926_04,,0
926_05,926,湯郷温泉上,,34.993439,134.139519,926_05,,0
928_04,928,美作第一小学校前,,34.997022,134.141632,928_04,,0
928_05,928,美作第一小学校前,,34.997219,134.141866,928_05,,0
930_04,930,林野バスセンター,,35.002809,134.143887,930_04,,0
930_05,930,林野バスセンター,,35.002710,134.143933,930_05,,0
932_04,932,本町,,35.002916,134.146052,932_04,,0
932_05,932,本町,,35.003756,134.146618,932_05,,0
934_04,934,栄町,,35.008588,134.149330,934_04,,0
934_05,934,栄町,,35.008564,134.149386,934_05,,0
936_05,936,林野駅前,,35.012672,134.150939,936_05,,0
946_04,946,新道立川口,,34.741955,134.015569,946_04,,0
