"trans_id","lang","translation"
"博愛会病院前","ja","博愛会病院前"
"博愛会病院前","ja-Hrkt","ハクアイカイビョウインマエ"
"厚生町商工会議所前","en","Koseicho Shokokaigisho-mae"
"厚生町商工会議所前","ja","厚生町商工会議所前"
"厚生町商工会議所前","ja-Hrkt","コウセイチョウショウコウカイギショマエ"
"原尾島","en","Haraojima"
"原尾島","ja","原尾島"
"原尾島","ja-Hrkt","ハラオジマ"
"原尾島一丁目","en","Haraojima 1-chome"
"原尾島一丁目","ja","原尾島一丁目"
"原尾島一丁目","ja-Hrkt","ハラオジマイッチョウメ"
"原尾島住宅","en","Haraojima Jutaku"
"原尾島住宅","ja","原尾島住宅"
"原尾島住宅","ja-Hrkt","ハラオジマジュウタク"
"原尾島橋","en","Haraojimabashi"
"原尾島橋","ja","原尾島橋"
"原尾島橋","ja-Hrkt","ハラオジマバシ"
"原東・東郵便局前","en","Hara-higashi,Higashi Post Office"
"原東・東郵便局前","ja","原東・東郵便局前"
"原東・東郵便局前","ja-Hrkt","ハラヒガシヒガシユウビンキョクマエ"
"ヘラ取神社前","en","Heratori Jinja-mae（Heratori Shrine）"
