"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"10001_2028_1","2_220_20190401","220_1104312_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2104222_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1101722_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2112122_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2105712_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2101434_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2111032_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1110122_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1113534_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2101622_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1110824_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1110932_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2105735_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2105714_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1112642_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1113224_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2100524_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1110622_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2100522_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1113842_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1101032_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1110942_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2112919_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2100322_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2112613_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2111322_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1113532_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1112924_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1110624_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2110814_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_221_20190401","221_2100213_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1112515_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1111724_20190401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_220_20190401","220_1111422_20190401","岡電高屋",,,,"2_2028_1",,,"2"
