trans_id,lang,translation
新道二井口,ja-Hrkt,しんどうふたいぐち
山陽団地中１番,ja,山陽団地中１番
山陽団地中１番,ja-Hrkt,さんようだんちなかいちばん
山陽団地郵便局前,ja,山陽団地郵便局前
山陽団地郵便局前,ja-Hrkt,さんようだんちゆうびんきょくまえ
山陽団地中２番,ja,山陽団地中２番
山陽団地中２番,ja-Hrkt,さんようだんちなかにばん
山陽西小学校前,ja,山陽西小学校前
山陽西小学校前,ja-Hrkt,さんようにししょうがっこうまえ
山陽団地中３番,ja,山陽団地中３番
山陽団地中３番,ja-Hrkt,さんようだんちなかさんばん
下市,ja,下市
下市,ja-Hrkt,しもいち
県民局入口（東岡山）,ja,県民局入口（東岡山）
県民局入口（東岡山）,ja-Hrkt,けんみんきょくいりぐち
岡電柳川（東岡山）,ja,岡電柳川（東岡山）
岡電柳川（東岡山）,ja-Hrkt,おかでんやながわひがし
