trans_id,lang,translation
福田公園北門前,ja-Hira,ふくだこうえんきたもんまえ
福田公園東門前,ja,福田公園東門前
福田公園東門前,ja-Hira,ふくだこうえんひがしもんまえ
広江山の鼻,ja,広江山の鼻
広江山の鼻,ja-Hira,ひろえやまのはな
新呼松,ja,新呼松
新呼松,ja-Hira,しんよびまつ
新水尻,ja,新水尻
新水尻,ja-Hira,しんみしり
高島口,ja,高島口
高島口,ja-Hira,たかしまぐち
瀬戸埠頭入口,ja,瀬戸埠頭入口
瀬戸埠頭入口,ja-Hira,せとふとういりぐち
樋の輪南,ja,樋の輪南
樋の輪南,ja-Hira,ひのわみなみ
西帯江,ja,西帯江
西帯江,ja-Hira,にしおびえ
二日市,ja,二日市
二日市,ja-Hira,ふつかいち
ニシナ加須山店前,ja,ニシナ加須山店前
ニシナ加須山店前,ja-Hira,にしなかすやまてんまえ
亀山,ja,亀山
亀山,ja-Hira,かめやま
亀山郵便局前,ja,亀山郵便局前
亀山郵便局前,ja-Hira,かめやまゆうびんきょくまえ
六間川,ja,六間川
六間川,ja-Hira,ろっけんがわ
帯高古開,ja,帯高古開
帯高古開,ja-Hira,おびたかこびらき
帯高,ja,帯高
帯高,ja-Hira,おびたか
茶屋町橋西,ja,茶屋町橋西
茶屋町橋西,ja-Hira,ちゃやまちばしにし
茶屋町橋,ja,茶屋町橋
茶屋町橋,ja-Hira,ちゃやまちばし
磯崎眠亀記念館前,ja,磯崎眠亀記念館前
磯崎眠亀記念館前,ja-Hira,いそざきみんききねんかんまえ
茶屋町駅前,ja,茶屋町駅前
茶屋町駅前,ja-Hira,ちゃやまちえきまえ
共睦公会堂前,ja,共睦公会堂前
共睦公会堂前,ja-Hira,きょうぼくこうかいどうまえ
共睦,ja,共睦
共睦,ja-Hira,きょうぼく
茶屋町公民館前,ja,茶屋町公民館前
茶屋町公民館前,ja-Hira,ちゃやまちこうみんかんまえ
倉敷高校前,ja,倉敷高校前
倉敷高校前,ja-Hira,くらしきこうこうまえ
鳥羽,ja,鳥羽
鳥羽,ja-Hira,とば
マスカットスタジアム南口,ja,マスカットスタジアム南口
マスカットスタジアム南口,ja-Hira,ますかっとすたじあむみなみぐち
吉田,ja,吉田
吉田,ja-Hira,よしだ
中庄小学校前,ja,中庄小学校前
中庄小学校前,ja-Hira,なかしょうしょうがっこうまえ
倉敷中庄自動車学校,ja,倉敷中庄自動車学校
倉敷中庄自動車学校,ja-Hira,くらしきなかしょうじどうしゃがっこう
黒崎,ja,黒崎
黒崎,ja-Hira,くろさき
中庄団地東,ja,中庄団地東
中庄団地東,ja-Hira,なかしょうだんちひがし
中庄団地西,ja,中庄団地西
中庄団地西,ja-Hira,なかしょうだんちにし
中庄住宅前,ja,中庄住宅前
中庄住宅前,ja-Hira,なかしょうじゅうたくまえ
福島,ja,福島
福島,ja-Hira,ふくしま
福島中,ja,福島中
福島中,ja-Hira,ふくしまなか
八軒樋,ja,八軒樋
八軒樋,ja-Hira,はちけんび
福島南,ja,福島南
福島南,ja-Hira,ふくしまみなみ
大島,ja,大島
大島,ja-Hira,おおじま
青陵高等学校北,ja,青陵高等学校北
青陵高等学校北,ja-Hira,せいりょうこうとうがっこうきた
南町,ja,南町
南町,ja-Hira,みなみまち
老松町東,ja,老松町東
老松町東,ja-Hira,おいまつちょうひがし
白楽町,ja,白楽町
白楽町,ja-Hira,ばくろちょう
児島ＩＣ,ja,児島IC
児島ＩＣ,ja-Hira,こじまIC
鷲羽山北,ja,鷲羽山北
鷲羽山北,ja-Hira,わしゅうざんきた
櫃石島,ja,櫃石島
櫃石島,ja-Hira,ひついしじま
櫃石学校前,ja,櫃石学校前
櫃石学校前,ja-Hira,ひついしがっこうまえ
櫃石,ja,櫃石
櫃石,ja-Hira,ひついし
岩黒島,ja,岩黒島
岩黒島,ja-Hira,いわくろじま
与島パーキングエリア,ja,与島パーキングエリア
与島パーキングエリア,ja-Hira,よしまぱーきんぐえりあ
塩浜,ja,塩浜
塩浜,ja-Hira,しおはま
与島第二駐車場,ja,与島第二駐車場
与島第二駐車場,ja-Hira,よしまだいにちゅうしゃじょう
鷲羽ハイランドボウル前,ja,鷲羽ハイランドボウル前
鷲羽ハイランドボウル前,ja-Hira,わしゅうはいらんどぼうるまえ
鷲羽山ハイランド遊園地前,ja,鷲羽山ハイランド遊園地前
鷲羽山ハイランド遊園地前,ja-Hira,わしゅうざんはいらんどゆうえんちまえ
下津井中学校入口,ja,下津井中学校入口
下津井中学校入口,ja-Hira,しもついちゅうがっこういりぐち
田之浦,ja,田之浦
田之浦,ja-Hira,たのうら
下電ホテル前,ja,下電ホテル前
下電ホテル前,ja-Hira,しもでんほてるまえ
鷲麓園別館前,ja,鷲麓園別館前
鷲麓園別館前,ja-Hira,しゅうろくえんべっかんまえ
久須見弘法大師堂前,ja,久須見弘法大師堂前
久須見弘法大師堂前,ja-Hira,くすみこうぼうだいしどうまえ
鷲羽山第二展望台,ja,鷲羽山第二展望台
鷲羽山第二展望台,ja-Hira,わしゅうざんだいにてんぼうだい
田之浦港前,ja,田之浦港前
田之浦港前,ja-Hira,たのうらこうまえ
吹上港前,ja,吹上港前
吹上港前,ja-Hira,ふきあげこうまえ
下津井漁港前,ja,下津井漁港前
下津井漁港前,ja-Hira,しもついぎょこうまえ
下津井公民館前,ja,下津井公民館前
下津井公民館前,ja-Hira,しもついこうみんかんまえ
下津井,ja,下津井
下津井,ja-Hira,しもつい
扇の嵶入口,ja,扇の嵶入口
扇の嵶入口,ja-Hira,おぎのたわいりぐち
三百山入口,ja,三百山入口
三百山入口,ja-Hira,さんびゃくやまいりぐち
下津井三丁目,ja,下津井三丁目
下津井三丁目,ja-Hira,しもついさんちょうめ
下津井二丁目,ja,下津井二丁目
下津井二丁目,ja-Hira,しもついにちょうめ
下津井港前,ja,下津井港前
下津井港前,ja-Hira,しもついこうまえ
下津井城跡入口,ja,下津井城跡入口
下津井城跡入口,ja-Hira,しもついじょうあといりぐち
祇園神社下,ja,祇園神社下
祇園神社下,ja-Hira,ぎおんじんじゃした
下津井郵便局前,ja,下津井郵便局前
下津井郵便局前,ja-Hira,しもついゆうびんきょくまえ
田之浦二丁目,ja,田之浦二丁目
田之浦二丁目,ja-Hira,たのうらにちょうめ
田土浦公園前,ja,田土浦公園前
田土浦公園前,ja-Hira,たづちのうらこうえんまえ
長浜,ja,長浜
長浜,ja-Hira,ながはま
大畠南,ja,大畠南
大畠南,ja-Hira,おばたけみなみ
大畠漁港前,ja,大畠漁港前
大畠漁港前,ja-Hira,おばたけぎょこうまえ
大畠,ja,大畠
大畠,ja-Hira,おばたけ
琴海,ja,琴海
琴海,ja-Hira,きんかい
競艇場第二入場門前,ja,競艇場第二入場門前
競艇場第二入場門前,ja-Hira,きょうていじょうだいににゅうじょうもんまえ
阿津一丁目,ja,阿津一丁目
阿津一丁目,ja-Hira,あついっちょうめ
阿津,ja,阿津
阿津,ja-Hira,あつ
マルナカ児島店前,ja,マルナカ児島店前
マルナカ児島店前,ja-Hira,まるなかこじまてんまえ
児島警察署前,ja,児島警察署前
児島警察署前,ja-Hira,こじまけいさつしょまえ
児島中央病院入口,ja,児島中央病院入口
