route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id
E06下,土曜,土曜_09時15分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
C01上,土曜,土曜_09時20分_系統C01上,倉敷駅前,,62,C01上
C01下,土曜,土曜_09時20分_系統C01下,ＪＲ児島駅,,62,C01下
J21,土曜,土曜_09時30分_系統J21,ＪＲ児島駅,,S1,J21
D16上,土曜,土曜_09時33分_系統D16上,倉敷駅前,,72,D16上
N22下,土曜,土曜_09時35分_系統N22下,中庄駅（倉敷駅前 経由）,,77,N22下
D19下,土曜,土曜_09時35分_系統D19下,下電興除車庫前（茶屋町駅前 経由）,,71,D19下
I3上,土曜,土曜_09時40分_系統I3上,ＪＲ児島駅,,82,I3上
A02下,土曜,土曜_09時45分_系統A02下,ＪＲ児島駅（岡山駅 経由）,,D80,A02下
E06上,土曜,土曜_09時45分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
J19,土曜,土曜_09時50分_系統J19,ＪＲ児島駅,,F1,J19
D19上,土曜,土曜_09時50分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
C01上,土曜,土曜_09時50分_系統C01上,倉敷駅前,,62,C01上
C01下,土曜,土曜_09時50分_系統C01下,ＪＲ児島駅,,62,C01下
S05上,土曜,土曜_09時55分_系統S05上,ＪＲ児島駅,,85,S05上
A21上001,土曜,土曜_09時55分_系統A21上001,天満屋（岡山駅 経由）,,D80,A21上001
A02上,土曜,土曜_09時56分_系統A02上,天満屋（下電興除車庫前 経由）,,D80,A02上
D16下,土曜,土曜_10時05分_系統D16下,茶屋町駅前,,72,D16下
I3下,土曜,土曜_10時10分_系統I3下,王子ヶ岳登山口,,82,I3下
N23上,土曜,土曜_10時15分_系統N23上,倉敷駅前（倉敷高校前 経由）,,78,N23上
D19上,土曜,土曜_10時15分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
E06下,土曜,土曜_10時15分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
C01下,土曜,土曜_10時20分_系統C01下,ＪＲ児島駅,,62,C01下
C01上,土曜,土曜_10時20分_系統C01上,倉敷駅前,,62,C01上
J21,土曜,土曜_10時30分_系統J21,ＪＲ児島駅,,S1,J21
D19下,土曜,土曜_10時35分_系統D19下,下電興除車庫前（茶屋町駅前 経由）,,71,D19下
I3上,土曜,土曜_10時40分_系統I3上,ＪＲ児島駅,,82,I3上
E06上,土曜,土曜_10時45分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
A02下,土曜,土曜_10時45分_系統A02下,ＪＲ児島駅（岡山駅 経由）,,D80,A02下
C01下,土曜,土曜_10時50分_系統C01下,ＪＲ児島駅,,62,C01下
J19,土曜,土曜_10時50分_系統J19,ＪＲ児島駅,,F1,J19
C01上,土曜,土曜_10時50分_系統C01上,倉敷駅前,,62,C01上
D16上,土曜,土曜_10時58分_系統D16上,倉敷駅前,,72,D16上
I3下,土曜,土曜_11時00分_系統I3下,王子ヶ岳登山口,,82,I3下
E06下,土曜,土曜_11時00分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
D16下,土曜,土曜_11時05分_系統D16下,茶屋町駅前,,72,D16下
C01上,土曜,土曜_11時20分_系統C01上,倉敷駅前,,62,C01上
C01下,土曜,土曜_11時20分_系統C01下,ＪＲ児島駅,,62,C01下
J21,土曜,土曜_11時30分_系統J21,ＪＲ児島駅,,S1,J21
I3上,土曜,土曜_11時30分_系統I3上,ＪＲ児島駅,,82,I3上
C01下,土曜,土曜_11時40分_系統C01下,ＪＲ児島駅,,62,C01下
A07上,土曜,土曜_11時41分_系統A07上,天満屋（汗入 経由）,,D80,A07上
E06上,土曜,土曜_11時45分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
A07下,土曜,土曜_11時45分_系統A07下,下電興除車庫前（岡山駅 経由）,,D80,A07下
J19,土曜,土曜_11時50分_系統J19,ＪＲ児島駅,,F1,J19
C01上,土曜,土曜_11時50分_系統C01上,倉敷駅前,,62,C01上
D19下,土曜,土曜_11時55分_系統D19下,下電興除車庫前（茶屋町駅前 経由）,,71,D19下
D19上,土曜,土曜_11時55分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
I3下,土曜,土曜_12時00分_系統I3下,王子ヶ岳登山口,,82,I3下
E06下,土曜,土曜_12時00分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
B02上,土曜,土曜_12時10分_系統B02上,岡山駅（北長瀬駅前 経由）,,E54,B02上
C01下,土曜,土曜_12時10分_系統C01下,ＪＲ児島駅,,62,C01下
C01上,土曜,土曜_12時20分_系統C01上,倉敷駅前,,62,C01上
S05下,土曜,土曜_12時20分_系統S05下,瀬戸大橋ＦＷ,,85,S05下
J21,土曜,土曜_12時30分_系統J21,ＪＲ児島駅,,S1,J21
D25下,土曜,土曜_12時30分_系統D25下,茶屋町駅前（倉敷駅前 経由）,,74,D25下
I3上,土曜,土曜_12時35分_系統I3上,ＪＲ児島駅,,82,I3上
C01下,土曜,土曜_12時40分_系統C01下,ＪＲ児島駅,,62,C01下
E06上,土曜,土曜_12時45分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
A21下001,土曜,土曜_12時45分_系統A21下001,汗入（岡山駅 経由）,,D80,A21下001
J19,土曜,土曜_12時50分_系統J19,ＪＲ児島駅,,F1,J19
C01上,土曜,土曜_12時50分_系統C01上,倉敷駅前,,62,C01上
D23上,土曜,土曜_12時55分_系統D23上,倉敷成人病センター前（茶屋町駅前 経由）,,75,D23上
A21上001,土曜,土曜_12時55分_系統A21上001,天満屋（岡山駅 経由）,,D80,A21上001
A02上,土曜,土曜_12時56分_系統A02上,天満屋（下電興除車庫前 経由）,,D80,A02上
I5下,土曜,土曜_13時00分_系統I5下,宇野駅（下之町 経由）,,,I5下
E06下,土曜,土曜_13時00分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
S05上,土曜,土曜_13時05分_系統S05上,ＪＲ児島駅,,85,S05上
