trans_id,lang,translation
瀬戸南高,ja-Hira,せとみなみこう
沖,ja,沖
沖,ja-Hira,おき
竹久工業前,ja,竹久工業前
竹久工業前,ja-Hira,たけひさこうぎょうまえ
瀬戸西,ja,瀬戸西
瀬戸西,ja-Hira,せとにし
瀬戸駅前,ja,瀬戸駅前
瀬戸駅前,ja-Hira,せとえきまえ
瀬戸駅,ja,瀬戸駅
瀬戸駅,ja-Hira,せとえき
赤磐警察署前,ja,赤磐警察署前
赤磐警察署前,ja-Hira,あかいわけいさつしょまえ
瀬戸郵便局前,ja,瀬戸郵便局前
瀬戸郵便局前,ja-Hira,せとゆうびんきょくまえ
瀬戸橋,ja,瀬戸橋
瀬戸橋,ja-Hira,せとばし
舟廻,ja,舟廻
舟廻,ja-Hira,せんまる
立川,ja,立川
立川,ja-Hira,たつかわ
医師会病院前,ja,医師会病院前
医師会病院前,ja-Hira,いしかいびょういんまえ
瀬戸線下市,ja,瀬戸線下市
瀬戸線下市,ja-Hira,せとせんしもいち
ネオポリス線下市,ja,ネオポリス線下市
ネオポリス線下市,ja-Hira,ねおぽりすせんしもいち
赤磐市役所前,ja,赤磐市役所前
赤磐市役所前,ja-Hira,あかいわしやくしょまえ
高屋（ネオ）,ja,高屋（ネオ）
高屋（ネオ）,ja-Hira,たかや
高屋上,ja,高屋上
高屋上,ja-Hira,たかやかみ
沼田,ja,沼田
沼田,ja-Hira,ぬた
二井口,ja,二井口
二井口,ja-Hira,ふたいぐち
日古木・中島口,ja,日古木・中島口
日古木・中島口,ja-Hira,ひこぎなかしまぐち
桜が丘西一丁目,ja,桜が丘西一丁目
桜が丘西一丁目,ja-Hira,さくらがおかにしいっちょうめ
桜が丘西一丁目上,ja,桜が丘西一丁目上
桜が丘西一丁目上,ja-Hira,さくらがおかにしいっちょうめかみ
桜が丘西二丁目,ja,桜が丘西二丁目
桜が丘西二丁目,ja-Hira,さくらがおかにしにちょうめ
桜が丘西三丁目,ja,桜が丘西三丁目
桜が丘西三丁目,ja-Hira,さくらがおかにしさんちょうめ
桜が丘西三丁目上,ja,桜が丘西三丁目上
桜が丘西三丁目上,ja-Hira,さくらがおかにしさんちょうめかみ
桜が丘西五丁目,ja,桜が丘西五丁目
桜が丘西五丁目,ja-Hira,さくらがおかにしごちょうめ
